    NWFL  SOFL  NEFL-NC  Mexico  Greece  Brazil  feed
A   34     22     104     0         0      0      60
B   4      24       1     11        19     0      50
C   2       2       0      2         0     0       7
D   0       0       0      0         0    11       0
E   0       1       0      0         0     0       0
F   0       0       0      0         2     0       0
G   2       1       0      0         0     0       0
H   0       0       0      1         0     0       1
I   0       0       0      1         0     0       0
J   0       0       0      5         0     0       3
K   0       0       0      0         0     0       1
L   0       0       0      0         0     0       1
M   0       0       0      0         0     0       2
N   0       0       0      0         0     0       3
O   0       0       0      0         0     0       1
P   0       0       0      0         0     0       1
Q   0       0       0      0         0     0       1
