      FL MEXI CR AVES SURI BRAZ ASCE AFRI CYPR  feed
I     11  7   0  0    0	  0	0    0	  0    2
II    1   0   0  0    0	  0	0    0	  0    0
III   12  5   40 3    0	  0	0    0	  0    62
IV    0	  0   1	 0    0	  0	0    0	  0    0
V    0	 1   0	27   13	  0	0    0	  0    10
VI   0	 0   0	0    1	  0	0    0	  0    0
VII  0	 0   0	0    1	  0	0    0	  0    0
VIII 0	 0   0	0    0	  8	16   19	  0    1
IX   0	 0   0	0    0	  5	1    0	  0    0
X    0	 0   0	0    0	  0	3    0	  0    0
XI   0	 0   0	0    0	  1	0    0	  0    0
XII  0	 0   0	0    0	  2	0    0	  0    0
XIII 0	 0   0	0    0	  0	0    0	  8    0
XIV  0	 0   0	0    0	  0	0    0	  1    0
XV   0	 1   0	0    0	  0	0    0	  0    0
XVI  0	 1   0	0    0	  0	0    0	  0    0
XVII 0	 2   0	0    0	  0	0    0	  0    0
XVIII 0	 3   0	0    0	  0	0    0	  0    0
XIX   0	 0   0	0    0	  0	0    0	  0    1
XX    0	 0   0	0    0	  0	0    0	  0    1
XXI   0	 0   0	0    0	  0	0    0	  0    3
